p,q,r,Mag Yaw
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,44.5
0,0,0,45.17
0,0,0,45.61
0,0,0,45.9
0,0,0,46.1
0,0,0,46.22
0,0,0,46.3
0,0,0,46.36
0,0,0,46.39
0,0,0,46.41
0,0,0,46.43
0,0,0,46.44
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,46.46
0,0,0,47.37
0,0,0,47.99
0,0,0,48.4
0,0,0,48.67
0,0,0,48.84
0,0,0,48.96
0,0,0,49.03
0,0,0,49.08
0,0,0,49.12
0,0,0,49.14
0,0,0,49.15
0,0,0,49.16
0,0,0,49.16
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,48.94
0,0,0,48.79
0,0,0,48.69
0,0,0,48.63
0,0,0,48.59
0,0,0,48.57
0,0,0,48.55
0,0,0,48.54
0,0,0,48.53
0,0,0,48.53
0,0,0,48.53
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.52
0,0,0,48.5
0,0,0,48.48
0,0,0,48.47
0,0,0,48.47
0,0,0,48.46
0,0,0,48.46
0,0,0,48.46
0,0,0,48.46
0,0,0,48.46
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,48.45
0,0,0,47.42
0,0,0,46.73
0,0,0,46.28
0,0,0,45.99
0,0,0,45.79
0,0,0,45.67
0,0,0,45.59
0,0,0,45.53
0,0,0,45.5
0,0,0,45.48
0,0,0,45.46
0,0,0,45.45
0,0,0,45.45
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,45.44
0,0,0,48.02
0,0,0,49.78
0,0,0,50.96
0,0,0,51.75
0,0,0,52.26
0,0,0,52.6
0,0,0,52.82
0,0,0,52.96
0,0,0,53.06
0,0,0,53.12
0,0,0,53.16
0,0,0,53.18
0,0,0,53.2
0,0,0,53.21
0,0,0,53.22
0,0,0,53.22
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,53.23
0,0,0,50.36
0,0,0,48.69
0,0,0,47.69
0,0,0,47.06
0,0,0,46.66
0,0,0,46.41
0,0,0,46.25
0,0,0,46.15
0,0,0,46.08
0,0,0,46.04
0,0,0,46.01
0,0,0,45.99
0,0,0,45.98
0,0,0,45.97
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.96
0,0,0,45.62
0,0,0,45.39
0,0,0,45.24
0,0,0,45.13
0,0,0,45.07
0,0,0,45.02
0,0,0,44.99
0,0,0,44.97
0,0,0,44.96
0,0,0,44.95
0,0,0,44.95
0,0,0,44.95
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,44.94
0,0,0,48.58
0,0,0,51.09
0,0,0,52.79
0,0,0,53.92
0,0,0,54.66
0,0,0,55.15
0,0,0,55.47
0,0,0,55.68
0,0,0,55.81
0,0,0,55.9
0,0,0,55.96
0,0,0,56
0,0,0,56.02
0,0,0,56.04
0,0,0,56.05
0,0,0,56.05
0,0,0,56.06
0,0,0,56.06
0,0,0,56.06
0,0,0,56.06
0,0,0,56.06
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,56.07
0,0,0,53.44
0,0,0,51.83
0,0,0,50.81
0,0,0,50.17
0,0,0,49.76
0,0,0,49.49
0,0,0,49.32
0,0,0,49.21
0,0,0,49.14
0,0,0,49.09
0,0,0,49.06
0,0,0,49.04
0,0,0,49.03
0,0,0,49.02
0,0,0,49.02
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.01
0,0,0,49.06
0,0,0,49.1
0,0,0,49.13
0,0,0,49.14
0,0,0,49.15
0,0,0,49.16
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,49.17
0,0,0,51.18
0,0,0,52.53
0,0,0,53.43
0,0,0,54.02
0,0,0,54.41
0,0,0,54.67
0,0,0,54.84
0,0,0,54.94
0,0,0,55.01
0,0,0,55.06
0,0,0,55.09
0,0,0,55.11
0,0,0,55.12
0,0,0,55.13
0,0,0,55.14
0,0,0,55.14
0,0,0,55.14
0,0,0,55.14
0,0,0,55.14
0,0,0,55.14
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,55.15
0,0,0,54.8
0,0,0,54.57
0,0,0,54.43
0,0,0,54.34
0,0,0,54.28
0,0,0,54.24
0,0,0,54.22
0,0,0,54.2
0,0,0,54.19
0,0,0,54.19
0,0,0,54.18
0,0,0,54.18
0,0,0,54.18
0,0,0,54.18
0,0,0,54.18
0,0,0,54.18
0,0,0,54.18
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,54.17
0,0,0,51.29
0,0,0,49.52
0,0,0,48.41
0,0,0,47.71
0,0,0,47.26
0,0,0,46.97
0,0,0,46.79
0,0,0,46.67
0,0,0,46.59
0,0,0,46.54
0,0,0,46.51
0,0,0,46.48
0,0,0,46.47
0,0,0,46.46
0,0,0,46.46
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,46.45
0,0,0,48.2
0,0,0,49.36
0,0,0,50.13
0,0,0,50.64
0,0,0,50.96
0,0,0,51.18
0,0,0,51.32
0,0,0,51.41
0,0,0,51.47
0,0,0,51.51
0,0,0,51.53
0,0,0,51.55
0,0,0,51.56
0,0,0,51.57
0,0,0,51.57
0,0,0,51.57
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
0,0,0,51.58
