p	q	r	Mag Yaw
-0.00	0.00	0.00	44.50
-0.00	0.00	0.00	44.50
-0.00	-0.00	-0.00	44.50
-0.00	-0.00	-0.00	44.50
-0.00	-0.00	-0.00	44.50
-0.00	-0.00	-0.00	44.50
-0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	-0.00	-0.00	44.50
0.00	0.00	-0.00	44.50
0.00	0.00	-0.00	44.50
0.00	0.00	-0.00	44.50
0.00	0.00	-0.00	44.50
0.00	0.00	-0.00	44.50
-0.00	0.00	-0.00	45.17
-0.00	0.00	-0.00	45.61
-0.00	0.00	-0.00	45.90
-0.00	0.00	-0.00	46.10
-0.00	0.00	-0.00	46.22
-0.00	0.00	-0.00	46.30
-0.00	0.00	-0.00	46.36
-0.00	0.00	-0.00	46.39
-0.00	0.00	-0.00	46.41
-0.00	0.00	-0.00	46.43
-0.00	0.00	-0.00	46.44
-0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	0.00	46.45
0.00	-0.00	0.00	46.46
0.00	-0.00	0.00	46.46
0.00	-0.00	0.00	46.46
0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	0.00	46.46
-0.00	-0.00	-0.00	46.46
-0.00	-0.00	-0.00	46.46
0.00	-0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
0.00	0.00	-0.00	46.46
-0.00	0.00	-0.00	47.37
