Ax	Ay	Az	p	q	r	mx	my	mz	
0.25	0.47	-3.27	-0.10	0.01	-0.46	0.45	2.34	6.22	
0.41	0.77	-5.39	-0.17	0.02	-0.75	0.74	3.86	10.27	
0.52	0.97	-6.77	-0.21	0.02	-0.94	0.93	4.85	12.89	
0.59	1.09	-7.67	-0.23	0.03	-1.07	1.05	5.49	14.60	
0.76	0.81	-8.44	-0.31	0.11	-1.53	1.14	5.91	15.71	
0.88	0.63	-8.95	-0.36	0.16	-1.84	1.19	6.18	16.44	
0.95	0.51	-9.28	-0.39	0.20	-2.03	1.22	6.36	16.91	
1.05	0.60	-9.46	-0.40	0.20	-1.93	1.24	6.47	17.21	
1.12	0.66	-9.57	-0.41	0.20	-1.87	1.26	6.55	17.41	
1.17	0.70	-9.65	-0.42	0.20	-1.82	1.27	6.60	17.54	
1.20	0.73	-9.70	-0.42	0.20	-1.80	1.27	6.63	17.62	
1.14	0.75	-9.69	-0.36	0.15	-1.46	1.28	6.65	17.68	
1.11	0.76	-9.68	-0.32	0.12	-1.24	1.28	6.66	17.71	
1.08	0.77	-9.68	-0.30	0.10	-1.10	1.28	6.67	17.73	
1.07	0.77	-9.67	-0.28	0.09	-1.01	1.28	6.68	17.75	
1.13	0.79	-9.73	-0.24	0.08	-0.77	0.54	5.97	18.62	
1.17	0.81	-9.76	-0.21	0.08	-0.61	0.05	5.52	19.19	
1.20	0.82	-9.78	-0.19	0.08	-0.51	-0.26	5.22	19.56	
1.12	0.82	-9.77	-0.14	0.04	-0.21	-0.47	5.02	19.80	
1.06	0.82	-9.76	-0.10	0.02	-0.01	-0.60	4.90	19.95	
1.03	0.82	-9.76	-0.08	0.00	0.12	-0.69	4.82	20.06	
1.01	0.82	-9.76	-0.06	-0.01	0.20	-0.74	4.76	20.12	
1.06	0.94	-9.78	-0.01	-0.04	0.50	-0.78	4.73	20.16	
1.10	1.02	-9.79	0.03	-0.06	0.70	-0.80	4.71	20.19	
1.12	1.07	-9.80	0.05	-0.07	0.82	-0.82	4.69	20.21	
1.14	1.10	-9.80	0.07	-0.08	0.91	-0.83	4.68	20.22	
1.10	1.08	-9.76	0.11	-0.12	0.97	-0.84	4.68	20.23	
1.08	1.06	-9.73	0.14	-0.14	1.01	-0.84	4.67	20.24	
1.06	1.04	-9.71	0.16	-0.15	1.04	-0.84	4.67	20.24	
1.01	1.04	-9.68	0.18	-0.15	1.04	-0.85	4.67	20.24	
0.97	1.03	-9.66	0.19	-0.15	1.04	-0.85	4.67	20.24	
0.94	1.03	-9.65	0.20	-0.15	1.04	-0.85	4.67	20.24	
0.93	1.03	-9.64	0.20	-0.15	1.04	-0.85	4.67	20.24	
0.99	1.00	-9.66	0.19	-0.11	0.89	-0.85	4.67	20.24	
1.03	0.97	-9.67	0.18	-0.09	0.80	-0.85	4.66	20.24	
1.06	0.96	-9.68	0.17	-0.07	0.73	-0.85	4.66	20.24	
1.07	0.95	-9.69	0.17	-0.06	0.69	-0.85	4.66	20.24	
1.08	0.93	-9.70	0.11	-0.04	0.45	-0.85	4.66	20.24	
1.08	0.92	-9.71	0.08	-0.04	0.30	-0.85	4.66	20.24	
1.08	0.92	-9.72	0.06	-0.03	0.20	-0.85	4.66	20.24	
1.11	0.96	-9.73	0.02	-0.03	0.03	-0.48	5.11	19.81	
1.14	0.99	-9.73	-0.01	-0.02	-0.09	-0.23	5.39	19.53	
1.16	1.00	-9.74	-0.03	-0.02	-0.16	-0.08	5.58	19.35	
1.17	1.02	-9.74	-0.04	-0.02	-0.21	0.03	5.70	19.23	
1.15	1.06	-9.70	-0.06	-0.02	-0.35	0.09	5.78	19.15	
1.13	1.09	-9.68	-0.07	-0.02	-0.44	0.14	5.83	19.10	
1.13	1.10	-9.66	-0.07	-0.02	-0.49	0.17	5.87	19.07	
1.12	1.12	-9.65	-0.08	-0.02	-0.53	0.18	5.89	19.05	
1.07	1.00	-9.69	-0.07	-0.00	-0.68	0.20	5.90	19.04	
1.04	0.92	-9.72	-0.07	0.01	-0.77	0.20	5.91	19.03	
1.02	0.87	-9.73	-0.07	0.02	-0.84	0.21	5.92	19.02	
0.99	0.78	-9.76	-0.06	0.03	-0.82	0.21	5.92	19.02	
0.96	0.72	-9.78	-0.06	0.04	-0.81	0.21	5.92	19.01	
0.95	0.68	-9.79	-0.06	0.05	-0.80	0.21	5.93	19.01	
0.94	0.65	-9.80	-0.06	0.05	-0.80	0.22	5.93	19.01	
0.94	0.63	-9.83	-0.05	0.04	-0.68	0.22	5.93	19.01	
0.95	0.61	-9.85	-0.05	0.03	-0.61	0.22	5.93	19.01	
0.95	0.60	-9.86	-0.05	0.03	-0.56	0.22	5.93	19.01	
0.95	0.59	-9.87	-0.05	0.03	-0.53	0.22	5.93	19.01	
0.94	0.62	-9.80	-0.03	0.02	-0.35	0.22	5.93	19.01	
0.93	0.64	-9.76	-0.01	0.01	-0.23	0.22	5.93	19.01	
0.92	0.66	-9.74	-0.00	0.00	-0.15	0.22	5.93	19.01	
0.95	0.65	-9.73	0.02	0.01	0.08	0.34	6.11	18.79	
0.97	0.65	-9.72	0.04	0.01	0.23	0.42	6.22	18.65	
0.98	0.64	-9.72	0.05	0.02	0.33	0.48	6.30	18.56	
0.99	0.64	-9.71	0.06	0.02	0.39	0.51	6.34	18.50	
0.99	0.69	-9.71	0.08	0.00	0.58	0.53	6.38	18.47	
1.00	0.73	-9.71	0.10	-0.01	0.70	0.55	6.40	18.44	
1.00	0.75	-9.71	0.11	-0.02	0.78	0.56	6.41	18.42	
1.00	0.76	-9.71	0.12	-0.02	0.83	0.56	6.42	18.41	
1.01	0.92	-9.69	0.13	-0.04	0.92	0.57	6.42	18.41	
1.02	1.02	-9.67	0.14	-0.06	0.98	0.57	6.43	18.40	
1.02	1.09	-9.67	0.15	-0.07	1.02	0.57	6.43	18.40	
1.02	1.00	-9.70	0.17	-0.06	0.91	0.57	6.43	18.40	
1.02	0.94	-9.73	0.18	-0.05	0.83	0.57	6.43	18.40	
1.02	0.90	-9.74	0.19	-0.04	0.78	0.57	6.43	18.39	
1.02	0.87	-9.75	0.20	-0.04	0.74	0.57	6.43	18.39	
