Gyro Yaw,Mag Yaw
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,50.41
0,51.15
0,51.63
0,51.95
0,52.15
0,52.29
0,52.37
0,52.43
0,52.47
0,52.49
0,52.51
0,52.52
0,52.52
0,52.53
0,52.53
0,52.53
0,52.53
0,52.53
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
0,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
-0.01,52.54
0,52.54
0,50.31
0,48.98
0,48.16
0,47.64
-0.01,47.31
-0.01,47.1
-0.01,46.97
-0.01,46.88
-0.01,46.82
-0.01,46.79
-0.01,46.76
-0.01,46.75
-0.01,46.74
-0.01,46.73
-0.01,46.73
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,46.72
-0.01,47.75
-0.01,48.46
-0.01,48.95
-0.01,49.27
-0.01,49.48
-0.01,49.62
-0.01,49.72
-0.01,49.78
-0.01,49.82
-0.01,49.84
-0.01,49.86
-0.01,49.87
-0.01,49.88
-0.01,49.88
-0.01,49.88
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.89
-0.01,49.9
-0.01,49.9
-0.01,49.9
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
-0.01,49.91
0,49.91
0,49.91
0,49.91
0,49.91
0,49.91
0,49.91
0,49.91
0,49.91
0,49.91
-0.01,49.91
-0.01,49.91
-0.01,48.83
-0.01,48.11
-0.01,47.64
-0.01,47.33
-0.01,47.12
-0.01,46.99
-0.01,46.9
-0.01,46.85
-0.01,46.81
-0.01,46.79
-0.01,46.77
-0.01,46.76
-0.01,46.76
-0.01,46.75
-0.01,46.75
-0.01,46.75
-0.01,46.75
-0.01,46.75
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
-0.01,46.74
